date,done,id,todo
Sat Aug 31 09:01:18 AM EDT 2024,Y,1,in-place sed line replacement (on save) should replace with the correct line position (accounting for previous row multi-lines) and wipe lineno+N if the updating row had multi-lines
Sun Sep 22 08:03:03 AM EDT 2024,Y,2,test all load scenarios for double-quotes being present in a field
Sat Aug 31 07:23:19 AM EDT 2024,N,3,print multi-line columns correctly
Sun Sep  8 09:35:10 AM EDT 2024,Y,4,add a new column when adding or saving with a new sv_ value detected
Sun Sep  1 07:21:26 AM EDT 2024,N,5,bug: print is not respecting comma inside a quoted column
Sun Sep  1 07:22:57 AM EDT 2024,N,6,filterable print by specifying sv_ values existing in multiple rows
Sun Sep  1 08:13:40 AM EDT 2024,Y,7,"bug: load, then add keeps sv_row number from the load but should be updated with add"
Sat Sep  7 07:43:34 AM EDT 2024,Y,8,add gh action yaml workflow to run the automated tests
Sun Sep 22 08:03:46 AM EDT 2024,N,9,test all save scenarios for double quotes being present in a field
Sun Sep 22 08:03:46 AM EDT 2024,N,10,test all add scenarios for double quotes being present in a field
Sun Sep 22 08:15:21 AM EDT 2024,Y,11,refactor non-commands to the functions directory
